,CommentText,Nickname,Date,LikesCount,IsBaseComment
34," Бесполезно все это, потому что вся власть коррумпирована. На каждой остановке объявление - Гражданство 1500р, вид на жительство 1000р. За копейки продают страну. Ну вышлют их, через два месяца назад приедут, заплатят кому надо. У нас законы не работают. ", Ольга Старовойт ,2022-02-17 03:21:00,87,True
35," Очнулся через 20 лет, ну хоть так чем никак. ", Руслан ,2022-02-17 03:21:00,59,True
36, За гроши мигранты не работают.Не пробывали пригласить на 6 соток грядки выкопать?Меньше 5000 т.р в день никто не пойдет.Грубая раб сила сейчас дорого стоит. , olg5555 ,2022-02-17 03:22:00,48,True
37, Отличное решение!!!!!!!! Дождались наконец то!!!!!!! , Игорь Иванов ,2022-02-17 03:23:00,38,True
38, да они только и молятся за Путина.... , иван иванов ,2022-02-17 03:24:00,28,True
39, Ты будешь мне еду носить и мой офис мыть? ," Дядюшка Джо смотрит в окно, хочет понять, почему так темно ",2022-02-17 03:29:00,60,False
40, Так не надо их сюда приглашать и давать гражданство! Причем здесь МВД? Надо давать работу прежде всего для граждан своей страны и давать достойную зарплату! В нашей стране основной инициатор такой миграционной политики Президент и никто иной! , Адель Адель ,2022-02-17 03:31:00,52,True
41, Легальные мигранты тоже совершают преступления , Сергей Лаврушкинов ,2022-02-17 03:38:00,55,True
42," У нас вся Россия нищая, а Президент приглашает еще мигрантов и дает им гражданство, а кто своим будет давать работу? ", Адель Адель ,2022-02-17 03:39:00,67,True
43, В смысле высылать? А отвечать по закону жертва будет? , Василий Пешненко ,2022-02-17 03:40:00,27,True
44, Ураааааа!!!!! , Рагнар Русский ,2022-02-17 03:42:00,20,True
45, Наконец то перестанут у Русских работу отнимать и занижать оплату труда !!!! , Рагнар Русский ,2022-02-17 03:43:00,44,True
46," И что, он за пятерых работать будет? ", Старый Ворчун ,2022-02-17 03:48:00,24,True
47, Чеченцы - это россияне. Не путайте с мигрантами-иностранцами. , Arik A. ,2022-02-17 03:50:00,40,False
48," Я правильно понял, что в стране законодательно всё давно готово, но президенту нужно периодически понукать исполнительные органы? Без окрика, простите, призыва президента не решаются ни социальные, ни медицинские, ни экономические проблемы. Правильно страну колоссом на глиняных ногах называли. ", Pinter Wafloo ,2022-02-17 03:50:00,22,True
49," Чечня, это Россия. Так же и про вас можно сказать, когда вы приедете в любую республику, край или область России. ", Savva Panf ,2022-02-17 03:56:00,34,False
50, Очередной трёп , Игорь Андреев ,2022-02-17 03:59:00,60,True
51," Они стали не нужны! Ну, и начали борзеть! ", Юрий Шереметьев ,2022-02-17 03:59:00,27,True
52," Просто в восторге. Мы сами вешаем объявление о гражданстве, виде на жительство, сдаём им квартиры , потакаем их наглости и хамству, а виноваты мифические коррупционеры. А высылать надо не только нелегальных но и легальных, которые по -русски не бельмеса, а наглости , хамства, презрения по отношению к нам через край. Они нам спасибо за предлоставление работы никогда не скажут, на нас наживаются и считают глупцами. ", Лавр Студёный ,2022-02-17 04:03:00,79,True
53," Высылать сразу весь род нарушителя , вместе с женами и детьми. ", Александр Шевалье ,2022-02-17 04:05:00,65,True
54," А каким образом нелегальные мигранты в Россию попадают? У нас суверенное государство или проходной двор? И что—нелегальных мигрантов будут высылать только за экстремизм? Вместо того, чтобы всех поганой метлой выкинуть из страны! ", Александр Савин ,2022-02-17 04:09:00,59,True
55, Россия собирается усиливать пограничников с севера и с юга одинаково? , Aleksandr FromNR ,2022-02-17 04:10:00,8,True
56, А китайцы?.. , Bazilius Che ,2022-02-17 04:12:00,14,True
57," Наш,,,всенародно избранный"""",эту тему не первый раз муссирует,а воз и ныне там.Впрочем,не припоминают.что он вообще выполнил из своих обещаний. ", Сергей Чафин ,2022-02-17 04:13:00,39,True
